SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-1224,514807,1,YES,SEDT,P,1,-8.800093699
NLA06608-1227,514957,1,YES,SEDT,P,1,-16.41657571
NLA06608-1232,514927,1,YES,SEDT,P,1,-12.73446927
NLA06608-1236,510138,1,YES,SEDT,P,1,-15.94756531
NLA06608-1236,510137,1,YES,SEDB,P,,-14.73522185
NLA06608-1238,512117,1,YES,SEDT,P,1,-13.60001506
NLA06608-1238,512118,1,YES,SEDB,P,,-0.200078996
NLA06608-1239,506728,1,YES,SEDT,P,1,-28.69792353
NLA06608-1239,506727,1,YES,SEDB,P,,-30.54004189
NLA06608-1240,507587,1,YES,SEDT,P,1,-10.84491317
NLA06608-1241,505497,1,YES,SEDT,P,1,5.531852804
NLA06608-1242,504427,1,YES,SEDT,P,1,-1.64335974
NLA06608-1242,504428,1,YES,SEDB,P,,0.943025816
NLA06608-1243,509767,1,YES,SEDT,P,1,-10.75583888
NLA06608-1243,509768,1,YES,SEDB,P,,-9.333752318
NLA06608-1244,511337,1,YES,SEDT,P,1,-19.81305386
NLA06608-1244,511338,1,YES,SEDB,P,,-20.62620478
NLA06608-1245,505307,1,YES,SEDT,P,1,-3.581542327
NLA06608-1255,511917,1,YES,SEDT,P,1,-19.17995472
NLA06608-1255,511918,1,YES,SEDB,P,,-27.02915882
NLA06608-1256,512377,1,YES,SEDT,P,1,-16.06994147
NLA06608-1258,515327,1,YES,SEDT,P,1,-16.92902407
NLA06608-1258,515328,1,YES,SEDB,P,,5.043652899
NLA06608-1259,505948,1,YES,SEDT,P,1,-14.63376479
NLA06608-1259,505947,1,YES,SEDB,P,,-13.67465365
NLA06608-1261,515067,1,YES,SEDT,P,1,4.120950886
NLA06608-1262,506717,1,YES,SEDT,P,1,-6.719647485
NLA06608-1262,506718,1,YES,SEDB,P,,-15.10255182
NLA06608-1263,509137,1,YES,SEDT,P,1,-31.11977558
NLA06608-1266,506777,1,YES,SEDT,P,1,4.282605945
NLA06608-1268,507507,1,YES,SEDT,P,1,-18.96197252
NLA06608-1269,508337,1,YES,SEDT,P,1,14.11405305
NLA06608-1270,510377,1,YES,SEDT,P,1,9.001986083
NLA06608-1270,510378,1,YES,SEDB,P,,11.53503921
NLA06608-1271,507157,1,YES,SEDT,P,1,-28.39199749
NLA06608-1271,507158,1,YES,SEDB,P,,-13.94573131
NLA06608-1273,516727,1,YES,SEDT,P,1,-26.74476306
NLA06608-1274,506987,1,YES,SEDT,P,1,2.496901188
NLA06608-1274,506988,1,YES,SEDB,P,,1.629279039
NLA06608-1278,505257,1,YES,SEDT,P,1,-36.79628181
NLA06608-1278,505258,1,YES,SEDB,P,,-28.46294847
NLA06608-1279,504317,1,YES,SEDT,P,1,5.134888223
NLA06608-1281,506508,1,YES,SEDT,P,1,4.862205356
NLA06608-1281,506507,1,YES,SEDB,P,,-4.578578431
NLA06608-1283,506298,1,YES,SEDT,P,1,4.625373954
NLA06608-1283,506297,1,YES,SEDB,P,,20.38975643
NLA06608-1288,516497,1,YES,SEDT,P,1,3.846923077
NLA06608-1292,505717,1,YES,SEDT,P,1,-7.175716781
NLA06608-1295,504778,1,YES,SEDT,P,1,-4.912913929
NLA06608-1295,504777,1,YES,SEDB,P,,-2.837392997
NLA06608-1300,504597,1,YES,SEDT,P,1,1.850447336
NLA06608-1303,505537,1,YES,SEDT,P,1,-36.08292039
NLA06608-1303,505538,1,YES,SEDB,P,,-16.23746972
NLA06608-1312,517587,1,YES,SEDT,P,1,0.567866099
NLA06608-1316,515608,1,YES,SEDT,P,1,-13.31170171
NLA06608-1319,510077,1,YES,SEDT,P,1,-25.49741147
NLA06608-1319,510078,1,YES,SEDB,P,,-28.04187456
NLA06608-1321,511807,1,YES,SEDT,P,1,4.02771005
NLA06608-1323,505847,1,YES,SEDT,P,1,-15.32502541
NLA06608-1326,506647,1,YES,SEDT,P,1,5.985304175
NLA06608-1326,506648,1,YES,SEDB,P,,-19.51790546
NLA06608-1329,512487,1,YES,SEDT,P,1,4.481304402
NLA06608-1332,515817,1,YES,SEDT,P,1,-9.527910667
NLA06608-1333,517557,1,YES,SEDT,P,1,-2.653596545
NLA06608-1333,517558,1,YES,SEDB,P,,-8.229988963
NLA06608-1334,504267,1,YES,SEDT,P,1,-19.1735482
NLA06608-1334,504268,1,YES,SEDB,P,,-29.94702923
NLA06608-1334,515337,2,NO,SEDT,P,,-14.85073193
NLA06608-1334,515338,2,NO,SEDB,P,,-21.2497205
