SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_CORE,DATECORE,INDXSAMP_CORE,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_CLASS,CORE_LENGTH,INTERVAL_FROM,INTERVAL_TO,FLAG_FLD_CORE,COMMENT_FLD_CORE,DATATYPE,VISIT_ID
NLA06608-0053,2,PROB_Lake,Target_Sampled,YES (Both),9/27/2007,NO,P,517548,SEDB,BOT,49,46,47,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,CORE,7536
NLA06608-0057,1,PROB_Lake,Target_Sampled,YES (Top only),6/16/2007,YES,P,514817,SEDT,TOP,26,0,1,,,CORE,7538
NLA06608-0057,2,PROB_Lake,Target_Sampled,YES (Top only),7/14/2007,NO,P,506877,SEDT,TOP,42,0,1,,,CORE,7539
NLA06608-0057,2,PROB_Lake,Target_Sampled,YES (Top only),7/14/2007,NO,D,507297,SEDT,TOP,32,0,1,,,CORE,7539
NLA06608-0061,1,PROB_Lake,Target_Sampled,YES (Top only),6/12/2007,YES,P,502437,SEDT,TOP,35,0,1,,,CORE,7541
NLA06608-0061,2,PROB_Lake,Target_Sampled,YES (Top only),8/22/2007,NO,P,509577,SEDT,TOP,47,0,1,,,CORE,7542
NLA06608-0062,1,PROB_Lake,Target_Sampled,YES (Both),8/9/2007,YES,P,512327,SEDT,TOP,20,0,1,,,CORE,7543
NLA06608-0062,1,PROB_Lake,Target_Sampled,YES (Both),8/9/2007,YES,P,512328,SEDB,BOT,20,17,18,,,CORE,7543
NLA06608-0062,2,PROB_Lake,Target_Sampled,YES (Both),8/27/2007,NO,P,517477,SEDT,TOP,22,0,1,,,CORE,7544
NLA06608-0062,2,PROB_Lake,Target_Sampled,YES (Both),8/27/2007,NO,P,517478,SEDB,BOT,22,19,20,,,CORE,7544
NLA06608-0064,1,PROB_Lake,Target_Sampled,YES (Both),6/18/2007,YES,P,514487,SEDT,TOP,51,0,1,,,CORE,7545
NLA06608-0064,1,PROB_Lake,Target_Sampled,YES (Both),6/18/2007,YES,P,514488,SEDB,BOT,51,48,49,,,CORE,7545
NLA06608-0064,2,PROB_Lake,Target_Sampled,YES (Both),8/26/2007,NO,P,513797,SEDT,TOP,47,0,1,,,CORE,7546
NLA06608-0064,2,PROB_Lake,Target_Sampled,YES (Both),8/26/2007,NO,P,513798,SEDB,BOT,47,44,45,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,CORE,7546
NLA06608-0065,1,PROB_Lake,Target_Sampled,YES (Both),7/17/2007,YES,P,507567,SEDT,TOP,34,0,1,,,CORE,7547
NLA06608-0065,1,PROB_Lake,Target_Sampled,YES (Both),7/17/2007,YES,P,507568,SEDB,BOT,34,31,32,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,CORE,7547
NLA06608-0065,2,PROB_Lake,Target_Sampled,YES (Both),9/12/2007,NO,P,509477,SEDT,TOP,32,0,1,,,CORE,7548
NLA06608-0065,2,PROB_Lake,Target_Sampled,YES (Both),9/12/2007,NO,P,509478,SEDB,BOT,32,29,30,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,CORE,7548
